Instruction,Input,Output,Category,Subcategory
Write a Python program to create a singly linked list,,"class Node():
  def __init__(self, data):
    self.data = data
    self.next = None

class List():
  def __init__(self):
    self.head = None

  def addNode(self, data):
    node = Node(data)
    if self.head == None:
       self.head = node
    else:
      current = self.head
      while current.next != None:
        current = current.next
      current.next = node",Data Structures,linked list
Write a Python function which takes in an argument and returns a corresponding string.,"Given an argument of 1,2 or 3","def get_string(arg):
    """"""
    This function takes in an argument and returns the corresponding
    string. 
 
    Parameters:
    arg (int): the argument

    Returns:
    str: the corresponding string
    """"""
    if arg == 1:
        return ""One""
    elif arg == 2:
        return ""Two""
    elif arg ==3:
        return ""Three""
    else:
        return """"",Data Structures,string
Develop an algorithm in Python to print Fibonacci series up to a given number.,,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
      
n = int(input(""Enter a number: ""))
print(fibonacci(n))",Syntax,print
Create a function in Python that implements binary search.,"[2, 5, 7, 9, 12, 15], 12","def binary_search(arr, value): 
    low = 0
    high = len(arr) - 1
  
    while low <= high: 
        mid = (low + high) // 2
        if arr[mid] < value: 
            low = mid + 1
        elif arr[mid] > value: 
            high = mid - 1
        else: 
            return mid 
  
    return -1

# Test
arr = [2, 5, 7, 9, 12, 15]
value = 12
print(binary_search(arr, value)) # 4",Branching,elif
"Write a Python program to implement a basic stack data structure with push, pop, and peek operations.",,"class Stack:
 def __init__(self):
 self.items = []

 def push(self, item):
 self.items.append(item)

 def pop(self):
 return self.items.pop()

 def peek(self):
 return self.items[len(self.items)-1]

my_stack = Stack()
my_stack.push(1)
my_stack.push(2)
my_stack.push(3)
print(my_stack.peek()) # 3
print(my_stack.pop()) # 3
print(my_stack.pop()) # 2",Data Structures,stack
Create a command line tool in Python that takes a numerical input (e.g. from user input) and prints out all prime numbers up to that number.,50,"import sys

def main():
 try:
 number = int(sys.argv[1])
 except (IndexError, ValueError):
 number = int(input('Please enter a number: '))

 prime_list = []
 for num in range(2, number + 1):
 for i in prime_list:
 if num % i == 0:
 break
 else:
 prime_list.append(num)

print(prime_list)

if __name__ == '__main__':
 main()",Syntax,user input
Design a program to find the nth term of the Fibonacci sequence for a given number n.,n = 10,"# Python 3 program to find the nth
# Fibonacci number
def Fibonacci(n):
    if n<0:
        print(""Incorrect input"")
    # First Fibonacci number is 0
    elif n==1:
        return 0
    # Second Fibonacci number is 1
    elif n==2:
        return 1
    else:
        return Fibonacci(n-1)+Fibonacci(n-2)
 
# Driver Program
print(Fibonacci(10))

# Output
34",Algorithms and Dynamic Programming,fibonacci
Generate a Python script for calculating the GCD and LCM of two numbers,,"# Function to calculate GCD and LCM of two numbers
def gcd_lcm(a, b): 
    if a > b:
        small = b
    else:
        small = a
    for i in range(1, small+1):
        if((a % i == 0) and (b % i == 0)): 
            gcd = i 
              
    lcm = int(a*b)/int(gcd) 
    return gcd, lcm

# Driver Code
a = 8
b = 12

gcd, lcm = gcd_lcm(a, b)
print(""GCD:"", gcd)
print(""LCM:"", lcm)",Mathematics,number
Create a data structure to efficiently store and manipulate a set of strings.,,"# Create an empty set 
str_set = set() 
  
# Add elements to the set
str_set.add(""Python"") 
str_set.add(""Java"") 
str_set.add(""C#"") 
str_set.add(""JavaScript"") 

# Check for the presence
if ""Python"" in str_set: 
    print(""Python is present"") 
  
# Remove elements from the set
str_set.remove(""Java"") 

# Print the set
print(""Set of strings: "", end = "" "") 
for i in str_set: 
    print(i, end ="" "")",Data Structures,data structure
Create a Python program to convert a number to its corresponding month name.,2,"def num_to_month(num):
    months = [
        'January', 
        'February', 
        'March', 
        'April', 
        'May', 
        'June', 
        'July', 
        'August', 
        'September', 
        'October', 
        'November', 
        'December'
    ]
    return months[num - 1]

print(num_to_month(2)) # February",Mathematics,number
Write a Python function to generate the Fibonacci series till n-th term.,,"def Fibonacci(n): 
	a = 0
	b = 1
	if n < 0: 
		print(""Incorrect input"") 
	elif n == 0: 
		return a 
	elif n == 1: 
		return b 
	else: 
		for i in range(2,n): 
			c = a + b 
			a = b 
			b = c 
		return b 

result = Fibonacci(7) 
print(result)",Algorithms and Dynamic Programming,fibonacci
Write a Python program to generate all unique combinations of two numbers from a list.,"nums = [1, 2, 3, 4]","def generate_combinations(nums): 
    result = [] 
    for x in range(0, len(nums)): 
        for y in range(x + 1, len(nums)): 
            result.append([nums[x], nums[y]]) 
    return result 

nums = [1, 2, 3, 4]

result = generate_combinations(nums)

for item in result:
    print(item)

# output
[1, 2]
[1, 3]
[1, 4]
[2, 3]
[2, 4]
[3, 4]",Mathematics,number
