ID_log,Question_ID,Category,Answer,Old Q-Value,New Q-Value
1,7924,Data Structures,Correct,0,0.1
2,5957,Sorting,Correct,0,0.10900000000000001
3,6028,Mathematics,Incorrect,0,-0.09018999999999999
4,4420,Mathematics,Correct,-0.09018999999999999,0.028639000000000026
5,8055,Scientific Computing,Correct,0,0.10981000000000002
6,2097,Syntax,Correct,0,0.1098829
7,6063,Data Structures,Correct,0.1,0.19988946100000002
8,5274,Functions and Advanced Concepts,Correct,0,0.11799005149
9,4951,Scientific Computing,Incorrect,0.10981000000000002,0.016819051490000014
10,6519,Branching,Incorrect,0,-0.08200994851
11,2845,Branching,Correct,-0.08200994851,0.04418109783100001
12,5771,Object-Oriented Programming,Incorrect,0,-0.08200994851
13,2482,Object-Oriented Programming,Incorrect,-0.08200994851,-0.15581890216900002
14,6971,Object-Oriented Programming,Correct,-0.15581890216900002,-0.022246960462100035
15,3109,Object-Oriented Programming,Correct,-0.022246960462100035,0.09796778707410997
16,4741,File Handling,Correct,0,0.11799005149
17,4284,Algorithms and Dynamic Programming,Incorrect,0,-0.08200994851
18,3487,Branching,Correct,0.04418109783100001,0.1577530395379
19,1381,Algorithms and Dynamic Programming,Correct,-0.08200994851,0.04418109783100001
20,7137,Loops,Incorrect,0,-0.08200994851
21,2137,Loops,Correct,-0.08200994851,0.04418109783100001
22,1801,Testing and Debugging,Correct,0,0.11799005149
23,4929,Data Analysis,Correct,0,0.11799005149
24,1634,Scientific Computing,Correct,0.016819051490000014,0.13312719783100002
25,6808,Mathematics,Incorrect,0.028639000000000026,-0.05623484850999998
26,896,Mathematics,Correct,-0.05623484850999998,0.06737868783100001
27,6992,Algorithms and Dynamic Programming,Correct,0.04418109783100001,0.1577530395379
28,2734,Loops,Correct,0.04418109783100001,0.1577530395379
29,7699,Mathematics,Incorrect,0.06737868783100001,-0.021369129462099984
30,4998,Mathematics,Incorrect,-0.021369129462099984,-0.10124216502588998
31,5549,Mathematics,Incorrect,-0.10124216502588998,-0.17312789703330098
32,3162,Sorting,Incorrect,0.10900000000000001,0.016090051490000007
33,2658,Mathematics,Correct,-0.17312789703330098,-0.03782505583997087
34,3042,Mathematics,Correct,-0.03782505583997087,0.08394750123402622
35,7826,Sorting,Correct,0.016090051490000007,0.132471097831
36,2738,Syntax,Correct,0.1098829,0.21688466149
37,5387,Mathematics,Incorrect,0.08394750123402622,-0.004927629355276408
38,2101,Branching,Correct,0.1577530395379,0.26149735511821
39,6857,Mathematics,Correct,-0.004927629355276408,0.11909989554089015
40,339,Object-Oriented Programming,Correct,0.09796778707410997,0.2117057703273379
41,5586,Functions and Advanced Concepts,Correct,0.11799005149,0.2297258083016389
42,6324,File Handling,Correct,0.11799005149,0.2297258083016389
43,4795,Data Structures,Correct,0.19988946100000002,0.3034352768606389
44,7199,Testing and Debugging,Incorrect,0.11799005149,0.0335002212584575
45,2672,Testing and Debugging,Incorrect,0.0335002212584575,-0.04254062594993076
46,5839,Testing and Debugging,Incorrect,-0.04254062594993076,-0.11097738843748017
47,3565,Testing and Debugging,Incorrect,-0.11097738843748017,-0.17257047467627465
48,7938,Testing and Debugging,Incorrect,-0.17257047467627465,-0.2280042522911897
49,5839,Testing and Debugging,Correct,-0.2280042522911897,-0.07789465214461322
50,7176,Testing and Debugging,Correct,-0.07789465214461322,0.05720398798730561
51,3060,Testing and Debugging,Correct,0.05720398798730561,0.17879276410603256
52,1742,Data Analysis,Incorrect,0.11799005149,0.0335002212584575
53,6643,Data Analysis,Correct,0.0335002212584575,0.15745937405006927
54,1670,Mathematics,Correct,0.11909989554089015,0.23449908090425864
55,808,Sorting,Correct,0.132471097831,0.24653316296535752
56,3588,Scientific Computing,Incorrect,0.13312719783100002,0.04712365296535752
57,7774,Scientific Computing,Correct,0.04712365296535752,0.16972046258627926
58,1727,Data Analysis,Incorrect,0.15745937405006927,0.06902261156251983
59,8298,Data Analysis,Incorrect,0.06902261156251983,-0.010570474676274658
60,3369,Data Analysis,Incorrect,-0.010570474676274658,-0.08220425229118969
61,7979,Data Analysis,Correct,-0.08220425229118969,0.053325347855386784
62,7565,Data Analysis,Correct,0.053325347855386784,0.17530198798730562
63,323,Algorithms and Dynamic Programming,Correct,0.1577530395379,0.2692869105015675
64,984,Loops,Correct,0.1577530395379,0.2692869105015675
65,5806,Scientific Computing,Correct,0.16972046258627926,0.2800575912451089
66,7035,Data Analysis,Correct,0.17530198798730562,0.28508096410603256
67,1278,Testing and Debugging,Correct,0.17879276410603256,0.2882226626128868
68,5613,Object-Oriented Programming,Correct,0.2117057703273379,0.31784436821206163
69,1373,Syntax,Incorrect,0.21688466149,0.12380218848008553
70,1494,Syntax,Incorrect,0.12380218848008553,0.04002796277116252
71,1914,Object-Oriented Programming,Incorrect,0.31784436821206163,0.21466592452994102
72,4831,Syntax,Incorrect,0.04002796277116252,-0.03666565858849623
73,5425,Syntax,Incorrect,-0.03666565858849623,-0.1056899178121891
74,6972,Syntax,Incorrect,-0.1056899178121891,-0.1678117511135127
75,2923,Syntax,Correct,-0.1678117511135127,-0.02372140108470394
76,7696,Syntax,Incorrect,-0.02372140108470394,-0.09404008605877605
77,2020,Object-Oriented Programming,Correct,0.21466592452994102,0.3205085069944044
